,name,latitude,longitude,capacity,rackType,organisation,isSheltered,qr
23298,MACPHERSON MRT D2,1.325187,103.888404,34,RACKS,MRT,N,GYL-00DC
23299,543320-1,1.391149,103.891145,3,RACKS,HDB,Y,SKG-03F7
23300,530464-1,1.372388,103.896187,3,RACKS,HDB,Y,HOG-020B
23301,680763-3,1.393021,103.74863,6,RACKS,HDB,Y,CCK-027A
23302,522499-1,1.358841,103.956487,5,RACKS,HDB,Y,TPN-0522
23303,824174-1,1.397455,103.910026,4,RACKS,HDB,Y,PGL-0463
23304,140132-1,1.292071,103.815071,2,RACKS,HDB,Y,QST-00EB
23305,792433-3,1.393835,103.877445,7,RACKS,HDB,Y,SKG-055B
23306,542275-1,1.383369,103.894436,4,RACKS,HDB,Y,SKG-02B7
23307,641271-1,1.350952,103.704029,2,RACKS,HDB,Y,JRW-03B1
23308,510476-3,1.37488,103.958211,27,RACKS,HDB,Y,PSR-0219
23309,CHOA CHU KANG STREET 52 BLOCK 540_YB,1.392806,103.743868,10,YELLOWBOX,,Y,CCK-0204
23310,YISHUN CENTRAL BLOCK 303_YB,1.430066,103.840271,10,YELLOWBOX,,Y,YSH-0148
23311,821673-2,1.406851,103.911373,7,RACKS,HDB,Y,PGL-0236
23312,163009-1,1.287015,103.828931,6,RACKS,HDB,Y,BKM-0288
23313,BUS STOP 23141,1.326716,103.684025,10,YELLOWBOX,,N,PIO-004F
23314,100073-1,1.27582,103.809112,6,RACKS,HDB,Y,BKM-013F
23315,405002-2,1.317483,103.897997,3,RACKS,HDB,Y,GYL-02B7
23316,530128-1,1.351806,103.886502,6,RACKS,HDB,Y,HOG-0128
23317,310159-1,1.330484,103.845563,7,RACKS,HDB,Y,TPY-0160
23318,121466_1,1.310056,103.767269,12,RACKS,HDB,Y,CMT-01AB
23319,760703-2,1.42959,103.828896,14,RACKS,HDB,Y,YSH-03E1
23320,822227-1,1.403534,103.893499,16,RACKS,HDB,Y,PGL-02BB
23321,680122-1,1.37845,103.749761,10,RACKS,HDB,Y,CCK-0144
23322,322117-2,1.328351,103.860872,5,RACKS,HDB,Y,NOV-00BA
23323,730710-2,1.440775,103.797382,30,RACKS,HDB,Y,WLS-03A6
23324,641181-1,1.348439,103.708052,10,RACKS,HDB,Y,JRW-03A4
23325,520907-4,1.350625,103.93961,18,RACKS,HDB,Y,TPN-03EE
23326,SENJA ROAD BLOCK 611_YB,1.383666,103.761919,10,YELLOWBOX,,Y,BPJ-00FC
23327,120344-2,1.318102,103.768855,6,RACKS,HDB,Y,CMT-00AB
23328,791409-3,1.389257,103.877081,5,RACKS,HDB,Y,SKG-0531
23329,523499-2,1.359524,103.955699,10,RACKS,HDB,Y,TPN-0523
23330,440013-2,1.304093,103.915516,3,RACKS,HDB,Y,MRP-003B
23331,680202-2,1.38182,103.749738,7,RACKS,HDB,Y,CCK-016B
23332,730556_3,1.432876,103.796048,14,RACKS,HDB,Y,WLS-05D9
23333,640743-1,1.347326,103.69897,10,RACKS,HDB,Y,JRW-02E5
23334,562308-3,1.365351,103.844387,2,RACKS,HDB,Y,AMK-034E
23335,640840-1,1.344029,103.692216,5,RACKS,HDB,Y,JRW-0331
23336,460524-3,1.334903,103.930992,7,RACKS,HDB,Y,BDK-03BD
23337,120342-1,1.318127,103.770079,2,RACKS,HDB,Y,CMT-0010
23338,680137-1,1.379878,103.752093,6,RACKS,HDB,Y,CCK-014F
23339,750484_6,1.457224,103.815585,8,RACKS,HDB,Y,WLS-065D
23340,460061-2,1.325178,103.920463,10,RACKS,HDB,Y,BDK-01FD
23341,520892-1,1.349314,103.929246,10,RACKS,HDB,Y,TPN-03D9
23342,521888-3,1.350402,103.931062,8,RACKS,HDB,Y,TPN-073C
23343,540129-3,1.389839,103.90263,8,RACKS,HDB,Y,
23344,080102-1,1.27479,103.836306,4,RACKS,HDB,Y,BKM-00B5
23345,TAMPINES INDUSTRIAL PARK A (BLOCK 31_2),1.339881,103.943044,15,YELLOWBOX,,N,TPN-06A6
23346,122208-1,1.322514,103.762506,2,RACKS,HDB,Y,CMT-0163
23347,144061-1,1.294352,103.812163,2,RACKS,HDB,Y,QST-0062
23348,320002-1,1.323244,103.860545,2,RACKS,HDB,Y,KLG-00EA
23349,150124-1,1.285816,103.80346,4,RACKS,HDB,N,BKM-01A1
23350,600280-4,1.340475,103.747301,9,RACKS,HDB,Y,JRE-01BF
23351,570125-2,1.34694,103.851602,10,RACKS,HDB,Y,BIS-0084
23352,460427-7,1.329202,103.928224,9,RACKS,HDB,Y,BDK-036A
23353,WOODLANDS AVENUE 6 BLOCK 759_YB,1.446574,103.795633,23,YELLOWBOX,,Y,WLS-03F4
23354,CANBERRA ROAD BLOCK 424_YB,1.454091,103.818737,16,YELLOWBOX,,Y,SBW-0061
23355,640410-1,1.353572,103.726687,10,RACKS,HDB,Y,JRW-0197
23356,760808-2,1.416967,103.830813,9,RACKS,HDB,Y,YSH-0462
23357,550506-4,1.372679,103.876302,8,RACKS,HDB,Y,SRG-015A
23358,CHAI CHEE ROAD BLOCK 20_YB,1.326061,103.922852,16,YELLOWBOX,,N,BDK-0046
23359,085301-2,1.27755,103.841699,35,RACKS,HDB,Y,OUT-0027
23360,563700-1,1.369435,103.846611,4,RACKS,HDB,Y,AMK-0381
23361,760225-1,1.434848,103.835987,2,RACKS,HDB,Y,YSH-0236
23362,550241-2,1.353084,103.870255,9,RACKS,HDB,Y,SRG-010F
23363,460425-3,1.329371,103.929134,8,RACKS,HDB,Y,BDK-0366
23364,BUS STOP 65241,1.399092,103.907619,10,YELLOWBOX,,N,PGL-04D3
23365,610348-2,1.340526,103.719639,5,RACKS,HDB,Y,JRW-0105
23366,680515-2,1.390114,103.743583,6,RACKS,HDB,Y,CCK-01ED
23367,460502-2,1.331302,103.931639,4,RACKS,HDB,Y,BDK-037D
23368,730102-1,1.436272,103.781006,4,RACKS,HDB,Y,WLS-0281
23369,530942-1,1.373386,103.880539,5,RACKS,HDB,Y,HOG-0347
23370,161025-2,1.285345,103.831204,2,RACKS,HDB,Y,BKM-023E
23371,470605-3,1.330209,103.91344,6,RACKS,HDB,Y,BDK-0687
23372,UPPER THOMSON MRT EXIT 3_2,1.354055,103.834027,40,RACKS,MRT,N,BIS-0202
23373,560217-3,1.365458,103.842019,5,RACKS,HDB,Y,AMK-0158
23374,380005-2,1.312923,103.872949,8,RACKS,HDB,Y,KLG-01D6
23375,BUS STOP 11531,1.290872,103.8073,10,YELLOWBOX,,N,QST-0021
23376,HOUGANG AVENUE 9 BLOCK 918_YB,1.375722,103.883532,10,YELLOWBOX,,Y,HOG-008B
